stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.10355] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10366] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10377] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10386] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10400] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10409] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10431] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10447] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10462] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10472] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10482] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10491] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10518] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10528] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10541] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10762] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10846] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10860] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10873] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10884] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10893] Score is : 769
